Kana  ,English  ,Common Japanese  ,Kanji  
けいこう,fluorescence,,蛍光
おうじゅ,demand,,応需
じゅよう,"demand, need",,需要
へいさ,closing,,閉鎖
たいあつ,pressure-resistent,,
こうしき,hard type,,硬式
こうぞう,"structure, organization",,構造
えんそ,chlorine,,塩素
じゅくれん,"skill, experience",,熟練
むしゅう,odorless,,無臭
けつぼう,shortage (of),,欠乏
こうばい,"slope, incline",,勾配
しょてい,"designated, stated",,所定
あんきょ,underground channel,,暗渠
すいしょう,"recommend, endorse",,推奨
ちょうりゅう,"tide, tidal current",,潮流
かんまん,the ebb and flow,,干満
かいきょう,a strait,,海峡
ちょうせき,ebb and flow,,潮汐
こうう,"rainfall, rain",,降雨
