Kana  ,English  ,Common Japanese  ,Kanji  
つぎて,a coupling,,継手
ぎょうけつ,"coagulation, congealment",,凝結
かんれい,cold (weather),,寒冷
りかん,"contract a disease, be infected with",,罹患
しょうげき,"shock, impact",,衝撃
こくいん,a carved seal,,刻印
べっと,separate,,別途
かかと,the heel,,踵
えんてん,hot weather,,炎天
まみず,fresh water,,真水
へいよう,"use a thing together with..., use two things at the same time",,併用
かんりゃく,"terseness, brevity",,簡略
ぼせん,a mother ship,,母船
けいとう,a system,,系統
たぐる,"pull in, haul in",,手繰る
はろう,"waves, a billow",,波浪
かけら,"a broken piece, a fragment",欠けら,
ぎょもう,a fishnet,,漁網
かいそう,"seaweed(s), marine plants",,海藻
しゅうち,"widely known, well-known",,周知
