Kana  ,English  ,Common Japanese  ,Kanji  
ようかい,"melting, solution",,溶解
,,,
せし,centigrade,,セ氏
,,,
ぼうちょう,"expansion, swelling",,膨張
,,,
はんけい,radius,,半径
,,,
ばいか,increase markedly,,倍加
,,,
きそ,foundation,,基礎
,,,
そうてん,"loading, charging",,装填
,,,
せんこう,"perforation, boring, punching",,穿孔
,,,
がれき,rubble,,瓦礫
,,,
えいこう,"tow, have in tow",,曳航
,,,
ざしょう,"run aground, be stranded",,座礁
,,,
ちっそ,nitrogen,,窒素
,,,
ねんしょう,"burning, combustion",,燃焼
,,,
てんびん,"a balance, (a pair of) scales",,天秤
,,,
ふんどう,a (balance) weight,,分銅
,,,
でんぱん,transmission (e.g. of culture),,伝搬
,,,
かし,visibility,,可視
,,,
でんじ,electromagnetic,,電磁
,,,
はちょう,wavelength,,波長
,,,
あおむらさき,"violet, bluish purple",,青紫
